domain,dataset,split,file,method,original_bytes,encoded_bytes,ratio,encode_seconds
grayscale_image_tensor,mnist,test,mnist_test_000.img,asbx_fixed_zero_trim,784016,540292,0.689133895226628,0.0814570999937132
grayscale_image_tensor,mnist,test,mnist_test_000.img,asbx_fixed_one_gaps,784016,584470,0.7454822350564274,2.7020911999279633
grayscale_image_tensor,mnist,test,mnist_test_000.img,asbx_fixed_zero_gaps,784016,784025,1.000011479357564,9.184444400016218
grayscale_image_tensor,mnist,test,mnist_test_000.img,zlib_9,784016,155841,0.19877272912797697,0.2746776998974383
grayscale_image_tensor,mnist,test,mnist_test_000.img,bzip2_9,784016,140213,0.1788394624599498,0.026169000077061355
grayscale_image_tensor,mnist,test,mnist_test_000.img,lzma_9,784016,137164,0.17495051121405686,0.33765180001500994
grayscale_image_tensor,mnist,test,mnist_test_000.img,png_per_image,784016,268166,0.3420414889492051,0.1850370999891311
grayscale_image_tensor,mnist,test,mnist_test_001.img,asbx_oracle,784016,494835,0.6311542111385482,5.935699299909174
grayscale_image_tensor,mnist,test,mnist_test_001.img,asbx_deterministic,784016,505558,0.6448312279341238,1.11921550007537
grayscale_image_tensor,mnist,test,mnist_test_001.img,asbx_fixed_raw,784016,784025,1.000011479357564,0.02414740005042404
grayscale_image_tensor,mnist,test,mnist_test_001.img,asbx_fixed_zero,784016,782896,0.9985714577253525,0.017624499974772334
grayscale_image_tensor,mnist,test,mnist_test_001.img,asbx_fixed_zero_trim,784016,536535,0.68434190118569,0.09756680007558316
grayscale_image_tensor,mnist,test,mnist_test_001.img,asbx_fixed_one_gaps,784016,581955,0.7422743923593396,2.6590016999980435
grayscale_image_tensor,mnist,test,mnist_test_001.img,asbx_fixed_zero_gaps,784016,784025,1.000011479357564,8.98031070001889
grayscale_image_tensor,mnist,test,mnist_test_001.img,zlib_9,784016,156563,0.19969362870145507,0.27833590004593134
grayscale_image_tensor,mnist,test,mnist_test_001.img,bzip2_9,784016,141634,0.18065192547090875,0.030947300023399293
grayscale_image_tensor,mnist,test,mnist_test_001.img,lzma_9,784016,138388,0.17651170384277873,0.35969489999115467
grayscale_image_tensor,mnist,test,mnist_test_001.img,png_per_image,784016,268558,0.34254147874533175,0.14348379999864846
grayscale_image_tensor,mnist,test,mnist_test_002.img,asbx_oracle,784016,499446,0.6370354686639048,5.924136499990709
grayscale_image_tensor,mnist,test,mnist_test_002.img,asbx_deterministic,784016,509128,0.6493847064345626,1.0796526999911293
grayscale_image_tensor,mnist,test,mnist_test_002.img,asbx_fixed_raw,784016,784025,1.000011479357564,0.024923300021328032
grayscale_image_tensor,mnist,test,mnist_test_002.img,asbx_fixed_zero,784016,779298,0.9939822656680476,0.01808579999487847
grayscale_image_tensor,mnist,test,mnist_test_002.img,asbx_fixed_zero_trim,784016,543413,0.693114681333034,0.1023764000274241
grayscale_image_tensor,mnist,test,mnist_test_002.img,asbx_fixed_one_gaps,784016,590173,0.7527563212995653,2.7343502999283373
grayscale_image_tensor,mnist,test,mnist_test_002.img,asbx_fixed_zero_gaps,784016,784025,1.000011479357564,8.979373799986206
grayscale_image_tensor,mnist,test,mnist_test_002.img,zlib_9,784016,158199,0.2017803208097794,0.2742504000198096
grayscale_image_tensor,mnist,test,mnist_test_002.img,bzip2_9,784016,142781,0.1821149058182486,0.03013000008650124
grayscale_image_tensor,mnist,test,mnist_test_002.img,lzma_9,784016,139456,0.17787392094038898,0.33925259998068213
grayscale_image_tensor,mnist,test,mnist_test_002.img,png_per_image,784016,271130,0.3458220240403257,0.1382466999348253
grayscale_image_tensor,mnist,test,mnist_test_003.img,asbx_oracle,784016,497796,0.6349309197771474,5.875302500091493
grayscale_image_tensor,mnist,test,mnist_test_003.img,asbx_deterministic,784016,508110,0.6480862635456419,1.127774600056
grayscale_image_tensor,mnist,test,mnist_test_003.img,asbx_fixed_raw,784016,784025,1.000011479357564,0.03492619993630797
grayscale_image_tensor,mnist,test,mnist_test_003.img,asbx_fixed_zero,784016,781354,0.9966046611293647,0.015120500000193715
grayscale_image_tensor,mnist,test,mnist_test_003.img,asbx_fixed_zero_trim,784016,539676,0.6883481969755719,0.09741889999713749
grayscale_image_tensor,mnist,test,mnist_test_003.img,asbx_fixed_one_gaps,784016,585928,0.7473418909818167,2.702974700019695
grayscale_image_tensor,mnist,test,mnist_test_003.img,asbx_fixed_zero_gaps,784016,784025,1.000011479357564,8.521321599953808
grayscale_image_tensor,mnist,test,mnist_test_003.img,zlib_9,784016,158876,0.20264382359543684,0.28351649991236627
grayscale_image_tensor,mnist,test,mnist_test_003.img,bzip2_9,784016,143685,0.18326794351135692,0.025145300081931055
grayscale_image_tensor,mnist,test,mnist_test_003.img,lzma_9,784016,140144,0.17875145405195814,0.3472194999922067
grayscale_image_tensor,mnist,test,mnist_test_003.img,png_per_image,784016,271790,0.34666384359502866,0.13953309995122254
grayscale_image_tensor,mnist,test,mnist_test_004.img,asbx_oracle,784016,496139,0.6328174425011734,5.865141999907792
grayscale_image_tensor,mnist,test,mnist_test_004.img,asbx_deterministic,784016,505707,0.6450212750760188,1.116352100041695
grayscale_image_tensor,mnist,test,mnist_test_004.img,asbx_fixed_raw,784016,784025,1.000011479357564,0.026973300031386316
grayscale_image_tensor,mnist,test,mnist_test_004.img,asbx_fixed_zero,784016,779555,0.9943100651007122,0.013619799981825054
grayscale_image_tensor,mnist,test,mnist_test_004.img,asbx_fixed_zero_trim,784016,537415,0.6854643272586274,0.0879661999642849
grayscale_image_tensor,mnist,test,mnist_test_004.img,asbx_fixed_one_gaps,784016,584147,0.7450702536682925,2.739813100080937
grayscale_image_tensor,mnist,test,mnist_test_004.img,asbx_fixed_zero_gaps,784016,784025,1.000011479357564,8.985518299974501
grayscale_image_tensor,mnist,test,mnist_test_004.img,zlib_9,784016,155196,0.1979500418358809,0.2797543000197038
grayscale_image_tensor,mnist,test,mnist_test_004.img,bzip2_9,784016,140049,0.17863028305544784,0.023808899917639792
grayscale_image_tensor,mnist,test,mnist_test_004.img,lzma_9,784016,136700,0.1743586865574172,0.3460213999496773
grayscale_image_tensor,mnist,test,mnist_test_004.img,png_per_image,784016,267613,0.3413361462010979,0.14200600003823638
grayscale_image_tensor,mnist,test,mnist_test_005.img,asbx_oracle,784016,510539,0.6511844146037836,5.908988400013186
grayscale_image_tensor,mnist,test,mnist_test_005.img,asbx_deterministic,784016,520323,0.6636637517601681,0.9925316000590101
grayscale_image_tensor,mnist,test,mnist_test_005.img,asbx_fixed_raw,784016,784025,1.000011479357564,0.028327199979685247
grayscale_image_tensor,mnist,test,mnist_test_005.img,asbx_fixed_zero,784016,779298,0.9939822656680476,0.02100760000757873
grayscale_image_tensor,mnist,test,mnist_test_005.img,asbx_fixed_zero_trim,784016,539459,0.688071416909859,0.09586600004695356
grayscale_image_tensor,mnist,test,mnist_test_005.img,asbx_fixed_one_gaps,784016,611208,0.7795861308952878,2.9406066000228748
grayscale_image_tensor,mnist,test,mnist_test_005.img,asbx_fixed_zero_gaps,784016,784025,1.000011479357564,8.83505510003306
grayscale_image_tensor,mnist,test,mnist_test_005.img,zlib_9,784016,161967,0.20658634517662905,0.2820128999883309
grayscale_image_tensor,mnist,test,mnist_test_005.img,bzip2_9,784016,143161,0.1825995898042897,0.027340800035744905
grayscale_image_tensor,mnist,test,mnist_test_005.img,lzma_9,784016,141492,0.18047080671823024,0.35682740004267544
grayscale_image_tensor,mnist,test,mnist_test_005.img,png_per_image,784016,278115,0.35473128099426543,0.14681369997560978
grayscale_image_tensor,mnist,test,mnist_test_006.img,asbx_oracle,784016,505547,0.6448171976082121,5.939422700088471
grayscale_image_tensor,mnist,test,mnist_test_006.img,asbx_deterministic,784016,514818,0.6566422113834411,0.9910338000627235
grayscale_image_tensor,mnist,test,mnist_test_006.img,asbx_fixed_raw,784016,784025,1.000011479357564,0.02681579999625683
grayscale_image_tensor,mnist,test,mnist_test_006.img,asbx_fixed_zero,784016,775186,0.9887374747454134,0.01380829990375787
grayscale_image_tensor,mnist,test,mnist_test_006.img,asbx_fixed_zero_trim,784016,534734,0.68204475418869,0.08660449995659292
grayscale_image_tensor,mnist,test,mnist_test_006.img,asbx_fixed_one_gaps,784016,608329,0.7759140119589396,2.8640679999953136
grayscale_image_tensor,mnist,test,mnist_test_006.img,asbx_fixed_zero_gaps,784016,784025,1.000011479357564,8.784560199943371
grayscale_image_tensor,mnist,test,mnist_test_006.img,zlib_9,784016,161071,0.20544351135691108,0.2892437999835238
grayscale_image_tensor,mnist,test,mnist_test_006.img,bzip2_9,784016,143687,0.1832704944797045,0.02526300004683435
