corpus,file,method,block_size,original_bytes,encoded_bytes,ratio,encode_seconds
canterbury,alice29.txt,asbx_oracle,256,152089,152098,1.0000591758772823,1.9248513999627903
canterbury,alice29.txt,asbx_deterministic,256,152089,152098,1.0000591758772823,0.30638109997380525
canterbury,alice29.txt,asbx_fixed_raw,256,152089,152098,1.0000591758772823,0.010656099999323487
canterbury,alice29.txt,asbx_fixed_zero,256,152089,152098,1.0000591758772823,0.004839699948206544
canterbury,alice29.txt,asbx_fixed_zero_trim,256,152089,152098,1.0000591758772823,0.013941599987447262
canterbury,alice29.txt,asbx_fixed_one_gaps,256,152089,152098,1.0000591758772823,1.6318217000225559
canterbury,alice29.txt,asbx_fixed_zero_gaps,256,152089,152098,1.0000591758772823,2.1815465000690892
canterbury,alice29.txt,zlib_9,,152089,54170,0.35617303026517366,0.03309639997314662
canterbury,alice29.txt,bzip2_9,,152089,43202,0.28405736115037905,0.02395900001283735
canterbury,alice29.txt,lzma_9,,152089,48492,0.31883962679746725,0.135997400037013
canterbury,asyoulik.txt,asbx_oracle,256,125179,125188,1.000071897043434,1.3762173999566585
canterbury,asyoulik.txt,asbx_deterministic,256,125179,125188,1.000071897043434,0.3574178001144901
canterbury,asyoulik.txt,asbx_fixed_raw,256,125179,125188,1.000071897043434,0.006805999903008342
canterbury,asyoulik.txt,asbx_fixed_zero,256,125179,125188,1.000071897043434,0.003229999914765358
canterbury,asyoulik.txt,asbx_fixed_zero_trim,256,125179,125188,1.000071897043434,0.008324499940499663
canterbury,asyoulik.txt,asbx_fixed_one_gaps,256,125179,125188,1.000071897043434,1.1205208000028506
canterbury,asyoulik.txt,asbx_fixed_zero_gaps,256,125179,125188,1.000071897043434,1.0833306999411434
canterbury,asyoulik.txt,zlib_9,,125179,48778,0.38966599829044807,0.012229299987666309
canterbury,asyoulik.txt,bzip2_9,,125179,39569,0.31609934573690474,0.011882300022989511
canterbury,asyoulik.txt,lzma_9,,125179,44536,0.3557785251519824,0.09778910002205521
canterbury,cp.html,asbx_oracle,256,24603,24612,1.000365809047677,0.19074420002289116
canterbury,cp.html,asbx_deterministic,256,24603,24612,1.000365809047677,0.03127280005719513
canterbury,cp.html,asbx_fixed_raw,256,24603,24612,1.000365809047677,0.0008430000161752105
canterbury,cp.html,asbx_fixed_zero,256,24603,24612,1.000365809047677,0.0004618000239133835
canterbury,cp.html,asbx_fixed_zero_trim,256,24603,24612,1.000365809047677,0.001229100045748055
canterbury,cp.html,asbx_fixed_one_gaps,256,24603,24612,1.000365809047677,0.18942730000708252
canterbury,cp.html,asbx_fixed_zero_gaps,256,24603,24612,1.000365809047677,0.19470619992353022
canterbury,cp.html,zlib_9,,24603,7940,0.3227248709506971,0.0010034000733867288
canterbury,cp.html,bzip2_9,,24603,7624,0.3098809088322562,0.0031764000887051225
canterbury,cp.html,lzma_9,,24603,7644,0.31069381782709427,0.036196399945765734
canterbury,fields.c,asbx_oracle,256,11150,11158,1.0007174887892376,0.0905120000243187
canterbury,fields.c,asbx_deterministic,256,11150,11158,1.0007174887892376,0.010722600040026009
canterbury,fields.c,asbx_fixed_raw,256,11150,11158,1.0007174887892376,0.0002416999777778983
canterbury,fields.c,asbx_fixed_zero,256,11150,11158,1.0007174887892376,0.00014370004646480083
canterbury,fields.c,asbx_fixed_zero_trim,256,11150,11158,1.0007174887892376,0.00035969994496554136
canterbury,fields.c,asbx_fixed_one_gaps,256,11150,11158,1.0007174887892376,0.07997710001654923
canterbury,fields.c,asbx_fixed_zero_gaps,256,11150,11158,1.0007174887892376,0.09953580005094409
