domain,dataset,file,method,original_bytes,encoded_bytes,ratio,blocks_raw,blocks_zero,blocks_zero_trim,blocks_one_gaps,blocks_zero_gaps,blocks_one_runs,blocks_nonzero_bytes
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk10.smb,legacy_oracle,147453,25753,0.17465226207672954,0,0,28,1,0,0,547
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk10.smb,extended_oracle,147453,17184,0.11653882932188561,0,0,28,1,0,0,547
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk10.smb,fixed_raw,147453,147462,1.0000610363980387,0,0,28,1,0,0,547
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk10.smb,fixed_zero,147453,147462,1.0000610363980387,0,0,28,1,0,0,547
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk10.smb,fixed_zero_trim,147453,83318,0.5650478457542404,0,0,28,1,0,0,547
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk10.smb,fixed_one_gaps,147453,26015,0.17642909944185606,0,0,28,1,0,0,547
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk10.smb,fixed_zero_gaps,147453,147462,1.0000610363980387,0,0,28,1,0,0,547
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk10.smb,fixed_one_runs,147453,21166,0.14354404454300693,0,0,28,1,0,0,547
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk10.smb,fixed_nonzero_bytes,147453,17253,0.1170067750401823,0,0,28,1,0,0,547
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk11.smb,legacy_oracle,271245,36801,0.13567439031134215,0,0,0,32,0,892,136
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk11.smb,extended_oracle,271245,17630,0.06499658979889031,0,0,0,32,0,892,136
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk11.smb,fixed_raw,271245,271254,1.0000331803351215,0,0,0,32,0,892,136
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk11.smb,fixed_zero,271245,271254,1.0000331803351215,0,0,0,32,0,892,136
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk11.smb,fixed_zero_trim,271245,121945,0.44957510737525114,0,0,0,32,0,892,136
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk11.smb,fixed_one_gaps,271245,41223,0.15197699496764916,0,0,0,32,0,892,136
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk11.smb,fixed_zero_gaps,271245,271254,1.0000331803351215,0,0,0,32,0,892,136
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk11.smb,fixed_one_runs,271245,18134,0.06685468856568785,0,0,0,32,0,892,136
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk11.smb,fixed_nonzero_bytes,271245,22571,0.08321259378053052,0,0,0,32,0,892,136
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk12.smb,legacy_oracle,271245,36801,0.13567439031134215,0,0,0,32,0,892,136
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk12.smb,extended_oracle,271245,17630,0.06499658979889031,0,0,0,32,0,892,136
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk12.smb,fixed_raw,271245,271254,1.0000331803351215,0,0,0,32,0,892,136
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk12.smb,fixed_zero,271245,271254,1.0000331803351215,0,0,0,32,0,892,136
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk12.smb,fixed_zero_trim,271245,121945,0.44957510737525114,0,0,0,32,0,892,136
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk12.smb,fixed_one_gaps,271245,41223,0.15197699496764916,0,0,0,32,0,892,136
