file,split,block_size,original_bytes,encoded_bytes,ratio,encode_seconds,decode_seconds,stream_mode,blocks_raw,blocks_zero,blocks_zero_trim,blocks_one_gaps,blocks_zero_gaps
sparse_bits_01.bin,train,64,32768,5276,0.1610107421875,0.25549160002265126,0.006072300020605326,adaptive,0,4,8,500,0
sparse_bits_01.bin,train,128,32768,4594,0.14019775390625,0.2464402000186965,0.007022199919447303,adaptive,0,0,0,256,0
sparse_bits_01.bin,train,256,32768,3995,0.121917724609375,0.2614598000654951,0.005463399924337864,adaptive,0,0,0,128,0
sparse_bits_01.bin,train,512,32768,3698,0.11285400390625,0.26171999995131046,0.00630730006378144,adaptive,0,0,0,64,0
zero_blocks_75.bin,train,16,32768,15372,0.4691162109375,0.28286510007455945,0.006833899999037385,adaptive,576,1472,0,0,0
zero_blocks_75.bin,train,32,32768,12300,0.3753662109375,0.261174000101164,0.005030200001783669,adaptive,288,736,0,0,0
zero_blocks_75.bin,train,64,32768,10764,0.3284912109375,0.2479641999816522,0.0016338999848812819,adaptive,144,368,0,0,0
zero_blocks_75.bin,train,128,32768,10325,0.315093994140625,0.2847256000386551,0.0009190000128000975,adaptive,72,184,0,0,0
zero_blocks_75.bin,train,256,32768,9777,0.298370361328125,0.26691529992967844,0.0006225000834092498,adaptive,36,92,0,0,0
zero_blocks_75.bin,train,512,32768,9579,0.292327880859375,0.2753128999611363,0.0006328000454232097,adaptive,7,35,22,0,0
