model,dataset,files,original_bytes,oracle_ratio,deterministic_ratio,ml_ratio,gain_vs_deterministic_pct,oracle_regret_pct,model_bytes,ratio_with_model_charged_once,net_gain_bytes_after_model
decision_tree,SuiteSparse_HB_bcsstk,3,312931,0.15577874994807162,0.15591935602417145,0.15596409432111233,-0.02869322839809805,0.11897924017395585,8186,0.1821232156609604,-8200
decision_tree,fashion_mnist,10,7840160,0.8755351931593233,0.8804335625803555,0.8756123599518377,0.5475941437747909,0.008813671125655854,8186,0.8766564712965041,29613
decision_tree,mnist,10,7840160,0.6409459755923349,0.6525823452582601,0.641151838737985,1.7515807167218818,0.03211864236448928,8186,0.6421959500826514,81431
hist_gradient_boosting,SuiteSparse_HB_bcsstk,3,312931,0.15577874994807162,0.15591935602417145,0.15580751028181933,0.07173307099524512,0.018462295889062116,452981,1.6033502593223425,-452946
hist_gradient_boosting,fashion_mnist,10,7840160,0.8755351931593233,0.8804335625803555,0.8755610854880512,0.553417918102087,0.0029573144438151044,452981,0.9333380951409155,-414780
hist_gradient_boosting,mnist,10,7840160,0.6409459755923349,0.6525823452582601,0.6409736535989061,1.778885338180539,0.004318305695845213,452981,0.6987506632517704,-361967
small_mlp,SuiteSparse_HB_bcsstk,3,312931,0.15577874994807162,0.15591935602417145,0.15577874994807162,0.09017871782259387,0.0,48532,0.31086725188619857,-48488
small_mlp,fashion_mnist,10,7840160,0.8755351931593233,0.8804335625803555,0.8765703761147732,0.43878228065956415,0.11823430554681473,48532,0.8827605559070223,-18244
small_mlp,mnist,10,7840160,0.6409459755923349,0.6525823452582601,0.6417749127568825,1.6561024949426837,0.1293302705866269,48532,0.6479650925491317,36200
