domain,dataset,file,transform,downstream_codec,original_bytes,transform_bytes,final_bytes,final_ratio,transform_encode_seconds,downstream_encode_seconds,downstream_decode_seconds,transform_decode_seconds
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,bcsstk09.smb,asbx_oracle,zlib_9,146640,22352,2511,0.01712356792144026,0.6884191000135615,0.0020512999035418034,4.429998807609081e-05,0.02255460002925247
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,bcsstk09.smb,asbx_oracle,bzip2_9,146640,22352,2259,0.0154050736497545,0.6884191000135615,0.0019203999545425177,0.0003440999425947666,0.01850240002386272
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,bcsstk09.smb,asbx_oracle,lzma_9,146640,22352,1788,0.012193126022913257,0.6884191000135615,0.03216809988953173,0.00021249998826533556,0.024791400064714253
grayscale_image_tensor,mnist,mnist_test_000.img,raw,zlib_9,784016,784016,155841,0.19877272912797697,1.500011421740055e-06,0.2267295999918133,0.002284899936057627,6.00004568696022e-06
grayscale_image_tensor,mnist,mnist_test_000.img,raw,bzip2_9,784016,784016,140213,0.1788394624599498,1.500011421740055e-06,0.019770899903960526,0.010875200037844479,0.0001254999078810215
grayscale_image_tensor,mnist,mnist_test_000.img,raw,lzma_9,784016,784016,137164,0.17495051121405686,1.500011421740055e-06,0.2327215000987053,0.009610500070266426,0.00012019998393952847
grayscale_image_tensor,mnist,mnist_test_000.img,asbx_deterministic,zlib_9,784016,506771,170810,0.217865451725475,0.7367485000286251,0.18565270002000034,0.0019061999628320336,0.05724340002052486
grayscale_image_tensor,mnist,mnist_test_000.img,asbx_deterministic,bzip2_9,784016,506771,154282,0.19678424930103466,0.7367485000286251,0.019624299951829016,0.012283199932426214,0.0547614999813959
grayscale_image_tensor,mnist,mnist_test_000.img,asbx_deterministic,lzma_9,784016,506771,154096,0.1965470092447093,0.7367485000286251,0.20401340001262724,0.009704699972644448,0.05264170002192259
grayscale_image_tensor,mnist,mnist_test_000.img,asbx_oracle,zlib_9,784016,496973,176203,0.22474413787473724,3.744944200036116,0.20970759994816035,0.0018724000547081232,0.10084049997385591
grayscale_image_tensor,mnist,mnist_test_000.img,asbx_oracle,bzip2_9,784016,496973,159282,0.20316167016999653,3.744944200036116,0.02056189998984337,0.013403099961578846,0.10079460009001195
grayscale_image_tensor,mnist,mnist_test_000.img,asbx_oracle,lzma_9,784016,496973,158720,0.20244484806432522,3.744944200036116,0.2045377999311313,0.009339099982753396,0.10183519998099655
grayscale_image_tensor,mnist,mnist_test_001.img,raw,zlib_9,784016,784016,156563,0.19969362870145507,1.4998950064182281e-06,0.21586080000270158,0.0019743999000638723,0.0001132000470533967
