model,domain,dataset,file,original_bytes,oracle_bytes,deterministic_bytes,selected_bytes,regret_bytes,improvement_vs_deterministic_bytes,inference_seconds_share
hist_gradient_boosting,grayscale_image_tensor,mnist,mnist_test_009.img,784016,503789,512617,503813,24,8804,0.026378556519098904
hist_gradient_boosting,sparse_matrix_pattern,SuiteSparse_HB_bcsstk,bcsstk07.smb,22078,8750,8750,8750,0,0,0.026378556519098904
hist_gradient_boosting,sparse_matrix_pattern,SuiteSparse_HB_bcsstk,bcsstk08.smb,144213,17646,17682,17647,1,35,0.026378556519098904
hist_gradient_boosting,sparse_matrix_pattern,SuiteSparse_HB_bcsstk,bcsstk09.smb,146640,22352,22360,22360,8,0,0.026378556519098904
small_mlp,grayscale_image_tensor,fashion_mnist,fashion_mnist_test_000.img,784016,690897,694619,691444,547,3175,0.0018436869545637267
small_mlp,grayscale_image_tensor,fashion_mnist,fashion_mnist_test_001.img,784016,684214,688292,684527,313,3765,0.0018436869545637267
small_mlp,grayscale_image_tensor,fashion_mnist,fashion_mnist_test_002.img,784016,688079,691843,688865,786,2978,0.0018436869545637267
small_mlp,grayscale_image_tensor,fashion_mnist,fashion_mnist_test_003.img,784016,679337,683046,681149,1812,1897,0.0018436869545637267
small_mlp,grayscale_image_tensor,fashion_mnist,fashion_mnist_test_004.img,784016,691068,694858,691405,337,3453,0.0018436869545637267
small_mlp,grayscale_image_tensor,fashion_mnist,fashion_mnist_test_005.img,784016,679620,683333,680234,614,3099,0.0018436869545637267
small_mlp,grayscale_image_tensor,fashion_mnist,fashion_mnist_test_006.img,784016,685484,690504,686782,1298,3722,0.0018436869545637267
small_mlp,grayscale_image_tensor,fashion_mnist,fashion_mnist_test_007.img,784016,690421,693965,691214,793,2751,0.0018436869545637267
small_mlp,grayscale_image_tensor,fashion_mnist,fashion_mnist_test_008.img,784016,684983,688233,686052,1069,2181,0.0018436869545637267
small_mlp,grayscale_image_tensor,fashion_mnist,fashion_mnist_test_009.img,784016,690233,694047,690780,547,3267,0.0018436869545637267
small_mlp,grayscale_image_tensor,mnist,mnist_test_000.img,784016,496973,506771,497314,341,9457,0.0018436869545637267
small_mlp,grayscale_image_tensor,mnist,mnist_test_001.img,784016,494835,505558,495438,603,10120,0.0018436869545637267
small_mlp,grayscale_image_tensor,mnist,mnist_test_002.img,784016,499446,509128,499796,350,9332,0.0018436869545637267
small_mlp,grayscale_image_tensor,mnist,mnist_test_003.img,784016,497796,508110,497900,104,10210,0.0018436869545637267
small_mlp,grayscale_image_tensor,mnist,mnist_test_004.img,784016,496139,505707,496761,622,8946,0.0018436869545637267
small_mlp,grayscale_image_tensor,mnist,mnist_test_005.img,784016,510539,520323,511418,879,8905,0.0018436869545637267
small_mlp,grayscale_image_tensor,mnist,mnist_test_006.img,784016,505547,514818,506432,885,8386,0.0018436869545637267
small_mlp,grayscale_image_tensor,mnist,mnist_test_007.img,784016,508342,515384,509152,810,6232,0.0018436869545637267
small_mlp,grayscale_image_tensor,mnist,mnist_test_008.img,784016,511713,517934,512787,1074,5147,0.0018436869545637267
small_mlp,grayscale_image_tensor,mnist,mnist_test_009.img,784016,503789,512617,504620,831,7997,0.0018436869545637267
small_mlp,sparse_matrix_pattern,SuiteSparse_HB_bcsstk,bcsstk07.smb,22078,8750,8750,8750,0,0,0.0018436869545637267
small_mlp,sparse_matrix_pattern,SuiteSparse_HB_bcsstk,bcsstk08.smb,144213,17646,17682,17646,0,36,0.0018436869545637267
small_mlp,sparse_matrix_pattern,SuiteSparse_HB_bcsstk,bcsstk09.smb,146640,22352,22360,22352,0,8,0.0018436869545637267
