split,scenario,file,method,block_size,original_bytes,encoded_bytes,ratio,encode_seconds,decode_seconds
train,all_one,all_one.bin,oracle,256,32768,653,0.019927978515625,0.3181161000393331,0.0007242000428959727
train,all_one,all_one.bin,deterministic,256,32768,653,0.019927978515625,0.10172929998952895,0.0012250000145286322
train,all_one,all_one.bin,fixed_raw,256,32768,32777,1.000274658203125,0.0011482000118121505,1.109996810555458e-05
train,all_one,all_one.bin,fixed_zero,256,32768,32777,1.000274658203125,0.000686999992467463,9.200070053339005e-06
train,all_one,all_one.bin,fixed_zero_trim,256,32768,32777,1.000274658203125,0.0018069000216200948,1.0699965059757233e-05
train,all_one,all_one.bin,fixed_one_gaps,256,32768,32777,1.000274658203125,0.4618173000635579,1.079996582120657e-05
train,all_one,all_one.bin,fixed_zero_gaps,256,32768,653,0.019927978515625,0.0637855000095442,0.001143599976785481
train,all_zero,all_zero.bin,oracle,256,32768,525,0.016021728515625,0.2564300000667572,0.0006680000806227326
train,all_zero,all_zero.bin,deterministic,256,32768,525,0.016021728515625,0.036532600061036646,0.0007334999972954392
train,all_zero,all_zero.bin,fixed_raw,256,32768,32777,1.000274658203125,0.0013333999086171389,1.1500087566673756e-05
train,all_zero,all_zero.bin,fixed_zero,256,32768,525,0.016021728515625,0.001747800037264824,0.0003656999906525016
train,all_zero,all_zero.bin,fixed_zero_trim,256,32768,909,0.027740478515625,0.006665299995802343,0.0010903000365942717
train,all_zero,all_zero.bin,fixed_one_gaps,256,32768,653,0.019927978515625,0.06842349993530661,0.0013321000151336193
train,all_zero,all_zero.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.4274083999916911,1.0399962775409222e-05
train,boundary_zeros,boundary_zeros.bin,oracle,256,32768,17508,0.5343017578125,0.30936049995943904,0.001258100033737719
train,boundary_zeros,boundary_zeros.bin,deterministic,256,32768,17508,0.5343017578125,0.05071870004758239,0.0013428000966086984
train,boundary_zeros,boundary_zeros.bin,fixed_raw,256,32768,32777,1.000274658203125,0.001366600045002997,1.1899974197149277e-05
train,boundary_zeros,boundary_zeros.bin,fixed_zero,256,32768,32777,1.000274658203125,0.0005771000869572163,7.2999391704797745e-06
train,boundary_zeros,boundary_zeros.bin,fixed_zero_trim,256,32768,17508,0.5343017578125,0.005154800019226968,0.0010627000592648983
train,boundary_zeros,boundary_zeros.bin,fixed_one_gaps,256,32768,32520,0.992431640625,0.19192729995120317,0.00390860007610172
train,boundary_zeros,boundary_zeros.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.4124411001102999,1.71000137925148e-05
train,clustered_bits,clustered_bits.bin,oracle,256,32768,4340,0.1324462890625,0.3382395999506116,0.003360099974088371
train,clustered_bits,clustered_bits.bin,deterministic,256,32768,4343,0.132537841796875,0.04785590001847595,0.0037480000173673034
train,clustered_bits,clustered_bits.bin,fixed_raw,256,32768,32777,1.000274658203125,0.0013784000184386969,1.580000389367342e-05
train,clustered_bits,clustered_bits.bin,fixed_zero,256,32768,21599,0.659149169921875,0.0011781000066548586,0.0006917000282555819
train,clustered_bits,clustered_bits.bin,fixed_zero_trim,256,32768,5117,0.156158447265625,0.007980900001712143,0.001867900020442903
train,clustered_bits,clustered_bits.bin,fixed_one_gaps,256,32768,9062,0.27655029296875,0.12427120003849268,0.01905510004144162
train,clustered_bits,clustered_bits.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.47825080004986376,2.3400061763823032e-05
train,dense_bits_99,dense_bits_99.bin,oracle,256,32768,3924,0.1197509765625,0.33430990006309,0.00585229997523129
train,dense_bits_99,dense_bits_99.bin,deterministic,256,32768,3924,0.1197509765625,0.11479890008922666,0.005780400009825826
